"case","event","startTime","completeTime","creator","variant","variant-index","org:resource","role","Activity"
"Case2676","Resolve ticket","2012/11/14 14:58:49.000","2012/11/14 14:58:49.000","Fluxicon Disco","Variant 1","1","Value 2","Value 2","Resolve ticket"
"Case2676","Closed","2012/11/29 14:59:01.000","2012/11/29 14:59:01.000","Fluxicon Disco","Variant 1","1","Value 3","Value 3","Closed"
"Case2677","Assign seriousness","2012/05/14 07:35:51.000","2012/05/14 07:35:51.000","Fluxicon Disco","Variant 5","5","Value 9","Value 9","Assign seriousness"
"Case2677","Resolve ticket","2012/05/14 07:36:07.000","2012/05/14 07:36:07.000","Fluxicon Disco","Variant 5","5","Value 9","Value 9","Resolve ticket"
"Case2677","Closed","2012/06/26 07:40:32.000","2012/06/26 07:40:32.000","Fluxicon Disco","Variant 5","5","Value 5","Value 5","Closed"
"Case2678","Assign seriousness","2011/12/22 09:17:15.000","2011/12/22 09:17:15.000","Fluxicon Disco","Variant 3","3","Value 2","Value 2","Assign seriousness"
"Case2678","Take in charge ticket","2011/12/22 09:17:25.000","2011/12/22 09:17:25.000","Fluxicon Disco","Variant 3","3","Value 2","Value 2","Take in charge ticket"
"Case2678","Wait","2011/12/22 15:53:16.000","2011/12/22 15:53:16.000","Fluxicon Disco","Variant 3","3","Value 2","Value 2","Wait"
"Case2678","Take in charge ticket","2011/12/27 07:17:04.000","2011/12/27 07:17:04.000","Fluxicon Disco","Variant 3","3","Value 1","Value 1","Take in charge ticket"
"Case2678","Resolve ticket","2011/12/28 10:36:34.000","2011/12/28 10:36:34.000","Fluxicon Disco","Variant 3","3","Value 1","Value 1","Resolve ticket"
"Case2678","Closed","2012/02/10 09:40:17.000","2012/02/10 09:40:17.000","Fluxicon Disco","Variant 3","3","Value 5","Value 5","Closed"
"Case2679","Assign seriousness","2011/03/11 09:41:44.000","2011/03/11 09:41:44.000","Fluxicon Disco","Variant 1","1","Value 8","Value 8","Assign seriousness"
"Case2679","Take in charge ticket","2011/03/30 09:49:01.000","2011/03/30 09:49:01.000","Fluxicon Disco","Variant 1","1","Value 8","Value 8","Take in charge ticket"
"Case2679","Resolve ticket","2011/03/30 12:22:52.000","2011/03/30 12:22:52.000","Fluxicon Disco","Variant 1","1","Value 13","Value 13","Resolve ticket"
"Case2679","Closed","2011/04/14 12:23:03.000","2011/04/14 12:23:03.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case2680","Assign seriousness","2010/03/10 07:51:50.000","2010/03/10 07:51:50.000","Fluxicon Disco","Variant 1","1","Value 2","Value 2","Assign seriousness"
"Case2680","Take in charge ticket","2010/03/15 10:10:26.000","2010/03/15 10:10:26.000","Fluxicon Disco","Variant 1","1","Value 15","Value 15","Take in charge ticket"
"Case2680","Resolve ticket","2010/04/20 07:31:38.000","2010/04/20 07:31:38.000","Fluxicon Disco","Variant 1","1","Value 15","Value 15","Resolve ticket"
"Case2680","Closed","2010/05/05 07:31:53.000","2010/05/05 07:31:53.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case2681","Assign seriousness","2012/11/20 08:03:31.000","2012/11/20 08:03:31.000","Fluxicon Disco","Variant 2","2","Value 1","Value 1","Assign seriousness"
"Case2681","Take in charge ticket","2012/11/26 15:42:03.000","2012/11/26 15:42:03.000","Fluxicon Disco","Variant 2","2","Value 2","Value 2","Take in charge ticket"
"Case2681","Wait","2012/11/30 08:01:50.000","2012/11/30 08:01:50.000","Fluxicon Disco","Variant 2","2","Value 2","Value 2","Wait"
"Case2681","Resolve ticket","2012/12/07 15:04:33.000","2012/12/07 15:04:33.000","Fluxicon Disco","Variant 2","2","Value 2","Value 2","Resolve ticket"
"Case2681","Closed","2012/12/22 15:04:55.000","2012/12/22 15:04:55.000","Fluxicon Disco","Variant 2","2","Value 3","Value 3","Closed"
"Case2682","Assign seriousness","2011/04/01 12:13:58.000","2011/04/01 12:13:58.000","Fluxicon Disco","Variant 1","1","Value 8","Value 8","Assign seriousness"
"Case2682","Take in charge ticket","2011/04/01 12:14:10.000","2011/04/01 12:14:10.000","Fluxicon Disco","Variant 1","1","Value 8","Value 8","Take in charge ticket"
"Case2682","Resolve ticket","2011/04/01 12:17:00.000","2011/04/01 12:17:00.000","Fluxicon Disco","Variant 1","1","Value 8","Value 8","Resolve ticket"
"Case2682","Closed","2011/05/04 12:20:32.000","2011/05/04 12:20:32.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case2683","Assign seriousness","2010/03/22 15:54:42.000","2010/03/22 15:54:42.000","Fluxicon Disco","Variant 1","1","Value 2","Value 2","Assign seriousness"
"Case2683","Take in charge ticket","2010/03/23 08:04:08.000","2010/03/23 08:04:08.000","Fluxicon Disco","Variant 1","1","Value 2","Value 2","Take in charge ticket"
"Case2683","Resolve ticket","2010/03/23 08:04:16.000","2010/03/23 08:04:16.000","Fluxicon Disco","Variant 1","1","Value 2","Value 2","Resolve ticket"
"Case2683","Closed","2010/04/22 15:05:21.000","2010/04/22 15:05:21.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case2684","Assign seriousness","2012/07/27 14:53:29.000","2012/07/27 14:53:29.000","Fluxicon Disco","Variant 23","23","Value 13","Value 13","Assign seriousness"
"Case2684","Assign seriousness","2012/07/27 14:53:47.000","2012/07/27 14:53:47.000","Fluxicon Disco","Variant 23","23","Value 13","Value 13","Assign seriousness"
"Case2684","Assign seriousness","2012/07/27 14:53:47.000","2012/07/27 14:53:47.000","Fluxicon Disco","Variant 23","23","Value 13","Value 13","Assign seriousness"
"Case2684","Take in charge ticket","2012/07/30 07:09:53.000","2012/07/30 07:09:53.000","Fluxicon Disco","Variant 23","23","Value 16","Value 16","Take in charge ticket"
"Case2684","Resolve ticket","2012/07/30 07:13:04.000","2012/07/30 07:13:04.000","Fluxicon Disco","Variant 23","23","Value 16","Value 16","Resolve ticket"
"Case2684","Closed","2012/09/09 15:00:32.000","2012/09/09 15:00:32.000","Fluxicon Disco","Variant 23","23","Value 5","Value 5","Closed"
"Case2685","Assign seriousness","2011/05/20 09:04:57.000","2011/05/20 09:04:57.000","Fluxicon Disco","Variant 1","1","Value 8","Value 8","Assign seriousness"
"Case2685","Take in charge ticket","2011/05/20 09:05:26.000","2011/05/20 09:05:26.000","Fluxicon Disco","Variant 1","1","Value 8","Value 8","Take in charge ticket"
"Case2685","Resolve ticket","2011/05/20 12:20:30.000","2011/05/20 12:20:30.000","Fluxicon Disco","Variant 1","1","Value 13","Value 13","Resolve ticket"
"Case2685","Closed","2011/07/03 09:10:34.000","2011/07/03 09:10:34.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case2686","Take in charge ticket","2013/05/20 13:35:31.000","2013/05/20 13:35:31.000","Fluxicon Disco","Variant 11","11","Value 14","Value 14","Take in charge ticket"
"Case2686","Resolve ticket","2013/06/24 12:07:54.000","2013/06/24 12:07:54.000","Fluxicon Disco","Variant 11","11","Value 2","Value 2","Resolve ticket"
"Case2686","Closed","2013/07/09 12:08:13.000","2013/07/09 12:08:13.000","Fluxicon Disco","Variant 11","11","Value 3","Value 3","Closed"
"Case2687","Assign seriousness","2012/03/19 14:35:18.000","2012/03/19 14:35:18.000","Fluxicon Disco","Variant 1","1","Value 4","Value 4","Assign seriousness"
"Case2687","Take in charge ticket","2012/03/19 14:38:16.000","2012/03/19 14:38:16.000","Fluxicon Disco","Variant 1","1","Value 4","Value 4","Take in charge ticket"
"Case2687","Resolve ticket","2012/03/20 08:52:51.000","2012/03/20 08:52:51.000","Fluxicon Disco","Variant 1","1","Value 4","Value 4","Resolve ticket"
"Case2687","Closed","2012/04/26 13:40:26.000","2012/04/26 13:40:26.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case2688","Assign seriousness","2012/06/05 14:47:14.000","2012/06/05 14:47:14.000","Fluxicon Disco","Variant 2","2","Value 1","Value 1","Assign seriousness"
"Case2688","Take in charge ticket","2012/06/06 06:02:13.000","2012/06/06 06:02:13.000","Fluxicon Disco","Variant 2","2","Value 2","Value 2","Take in charge ticket"
"Case2688","Wait","2012/06/18 12:39:57.000","2012/06/18 12:39:57.000","Fluxicon Disco","Variant 2","2","Value 2","Value 2","Wait"
"Case2688","Resolve ticket","2012/07/12 07:47:19.000","2012/07/12 07:47:19.000","Fluxicon Disco","Variant 2","2","Value 2","Value 2","Resolve ticket"
"Case2688","Closed","2012/07/27 07:47:27.000","2012/07/27 07:47:27.000","Fluxicon Disco","Variant 2","2","Value 5","Value 5","Closed"
"Case2689","Assign seriousness","2012/05/31 11:12:52.000","2012/05/31 11:12:52.000","Fluxicon Disco","Variant 1","1","Value 1","Value 1","Assign seriousness"
"Case2689","Take in charge ticket","2012/05/31 15:26:15.000","2012/05/31 15:26:15.000","Fluxicon Disco","Variant 1","1","Value 6","Value 6","Take in charge ticket"
"Case2689","Resolve ticket","2012/06/01 09:41:12.000","2012/06/01 09:41:12.000","Fluxicon Disco","Variant 1","1","Value 6","Value 6","Resolve ticket"
"Case2689","Closed","2012/07/14 11:20:28.000","2012/07/14 11:20:28.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case2690","Assign seriousness","2012/04/10 15:03:47.000","2012/04/10 15:03:47.000","Fluxicon Disco","Variant 1","1","Value 1","Value 1","Assign seriousness"
"Case2690","Take in charge ticket","2012/04/11 06:03:55.000","2012/04/11 06:03:55.000","Fluxicon Disco","Variant 1","1","Value 4","Value 4","Take in charge ticket"
"Case2690","Resolve ticket","2012/05/02 06:50:12.000","2012/05/02 06:50:12.000","Fluxicon Disco","Variant 1","1","Value 4","Value 4","Resolve ticket"
"Case2690","Closed","2012/05/17 06:50:34.000","2012/05/17 06:50:34.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case2691","Assign seriousness","2012/05/08 07:05:48.000","2012/05/08 07:05:48.000","Fluxicon Disco","Variant 2","2","Value 1","Value 1","Assign seriousness"
"Case2691","Take in charge ticket","2012/05/10 09:34:19.000","2012/05/10 09:34:19.000","Fluxicon Disco","Variant 2","2","Value 1","Value 1","Take in charge ticket"
"Case2691","Wait","2012/05/11 07:26:19.000","2012/05/11 07:26:19.000","Fluxicon Disco","Variant 2","2","Value 1","Value 1","Wait"
"Case2691","Resolve ticket","2012/05/14 07:44:41.000","2012/05/14 07:44:41.000","Fluxicon Disco","Variant 2","2","Value 1","Value 1","Resolve ticket"
"Case2691","Closed","2012/06/09 07:31:23.000","2012/06/09 07:31:23.000","Fluxicon Disco","Variant 2","2","Value 5","Value 5","Closed"
"Case2692","Assign seriousness","2011/05/13 11:41:01.000","2011/05/13 11:41:01.000","Fluxicon Disco","Variant 1","1","Value 8","Value 8","Assign seriousness"
"Case2692","Take in charge ticket","2011/05/13 11:41:25.000","2011/05/13 11:41:25.000","Fluxicon Disco","Variant 1","1","Value 8","Value 8","Take in charge ticket"
"Case2692","Resolve ticket","2011/05/13 12:33:18.000","2011/05/13 12:33:18.000","Fluxicon Disco","Variant 1","1","Value 9","Value 9","Resolve ticket"
"Case2692","Closed","2011/06/26 11:50:24.000","2011/06/26 11:50:24.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case2693","Assign seriousness","2010/05/03 11:36:18.000","2010/05/03 11:36:18.000","Fluxicon Disco","Variant 1","1","Value 6","Value 6","Assign seriousness"
"Case2693","Take in charge ticket","2010/05/04 12:23:15.000","2010/05/04 12:23:15.000","Fluxicon Disco","Variant 1","1","Value 2","Value 2","Take in charge ticket"
"Case2693","Resolve ticket","2010/05/04 12:23:24.000","2010/05/04 12:23:24.000","Fluxicon Disco","Variant 1","1","Value 2","Value 2","Resolve ticket"
"Case2693","Closed","2010/06/05 11:40:17.000","2010/06/05 11:40:17.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case2694","Assign seriousness","2011/06/08 06:24:05.000","2011/06/08 06:24:05.000","Fluxicon Disco","Variant 1","1","Value 8","Value 8","Assign seriousness"
"Case2694","Take in charge ticket","2011/06/08 06:24:35.000","2011/06/08 06:24:35.000","Fluxicon Disco","Variant 1","1","Value 8","Value 8","Take in charge ticket"
"Case2694","Resolve ticket","2011/06/08 08:36:32.000","2011/06/08 08:36:32.000","Fluxicon Disco","Variant 1","1","Value 9","Value 9","Resolve ticket"
"Case2694","Closed","2011/07/09 06:31:05.000","2011/07/09 06:31:05.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case2695","Take in charge ticket","2011/11/23 10:23:17.000","2011/11/23 10:23:17.000","Fluxicon Disco","Variant 11","11","Value 4","Value 4","Take in charge ticket"
"Case2695","Resolve ticket","2011/11/23 12:25:06.000","2011/11/23 12:25:06.000","Fluxicon Disco","Variant 11","11","Value 6","Value 6","Resolve ticket"
"Case2695","Closed","2012/01/06 10:31:04.000","2012/01/06 10:31:04.000","Fluxicon Disco","Variant 11","11","Value 5","Value 5","Closed"
"Case2696","Assign seriousness","2011/10/20 07:53:21.000","2011/10/20 07:53:21.000","Fluxicon Disco","Variant 1","1","Value 1","Value 1","Assign seriousness"
"Case2696","Take in charge ticket","2011/10/20 07:59:58.000","2011/10/20 07:59:58.000","Fluxicon Disco","Variant 1","1","Value 6","Value 6","Take in charge ticket"
"Case2696","Resolve ticket","2011/10/20 08:51:18.000","2011/10/20 08:51:18.000","Fluxicon Disco","Variant 1","1","Value 6","Value 6","Resolve ticket"
"Case2696","Closed","2011/11/26 09:00:26.000","2011/11/26 09:00:26.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case2697","Assign seriousness","2012/03/01 15:21:45.000","2012/03/01 15:21:45.000","Fluxicon Disco","Variant 1","1","Value 9","Value 9","Assign seriousness"
"Case2697","Take in charge ticket","2012/03/06 14:41:44.000","2012/03/06 14:41:44.000","Fluxicon Disco","Variant 1","1","Value 9","Value 9","Take in charge ticket"
"Case2697","Resolve ticket","2012/03/07 08:14:00.000","2012/03/07 08:14:00.000","Fluxicon Disco","Variant 1","1","Value 1","Value 1","Resolve ticket"
"Case2697","Closed","2012/04/03 14:30:17.000","2012/04/03 14:30:17.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case2698","Assign seriousness","2011/11/30 08:49:05.000","2011/11/30 08:49:05.000","Fluxicon Disco","Variant 1","1","Value 4","Value 4","Assign seriousness"
"Case2698","Take in charge ticket","2011/11/30 08:49:38.000","2011/11/30 08:49:38.000","Fluxicon Disco","Variant 1","1","Value 4","Value 4","Take in charge ticket"
"Case2698","Resolve ticket","2011/12/01 12:34:02.000","2011/12/01 12:34:02.000","Fluxicon Disco","Variant 1","1","Value 4","Value 4","Resolve ticket"
"Case2698","Closed","2012/01/01 08:50:55.000","2012/01/01 08:50:55.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case2699","Assign seriousness","2011/04/18 09:39:50.000","2011/04/18 09:39:50.000","Fluxicon Disco","Variant 6","6","Value 2","Value 2","Assign seriousness"
"Case2699","Take in charge ticket","2011/04/19 06:43:08.000","2011/04/19 06:43:08.000","Fluxicon Disco","Variant 6","6","Value 10","Value 10","Take in charge ticket"
"Case2699","Resolve ticket","2011/04/20 14:19:50.000","2011/04/20 14:19:50.000","Fluxicon Disco","Variant 6","6","Value 2","Value 2","Resolve ticket"
"Case2699","Resolve ticket","2011/04/20 14:19:51.000","2011/04/20 14:19:51.000","Fluxicon Disco","Variant 6","6","Value 8","Value 8","Resolve ticket"
"Case2699","Closed","2011/06/05 09:40:47.000","2011/06/05 09:40:47.000","Fluxicon Disco","Variant 6","6","Value 5","Value 5","Closed"
"Case2700","Assign seriousness","2013/02/15 09:33:26.000","2013/02/15 09:33:26.000","Fluxicon Disco","Variant 2","2","Value 1","Value 1","Assign seriousness"
"Case2700","Take in charge ticket","2013/02/18 15:18:51.000","2013/02/18 15:18:51.000","Fluxicon Disco","Variant 2","2","Value 1","Value 1","Take in charge ticket"
"Case2700","Wait","2013/02/18 15:43:18.000","2013/02/18 15:43:18.000","Fluxicon Disco","Variant 2","2","Value 1","Value 1","Wait"
"Case2700","Resolve ticket","2013/03/18 13:12:44.000","2013/03/18 13:12:44.000","Fluxicon Disco","Variant 2","2","Value 1","Value 1","Resolve ticket"
"Case2700","Closed","2013/04/02 12:13:00.000","2013/04/02 12:13:00.000","Fluxicon Disco","Variant 2","2","Value 3","Value 3","Closed"
"Case2701","Assign seriousness","2011/03/29 08:26:08.000","2011/03/29 08:26:08.000","Fluxicon Disco","Variant 1","1","Value 8","Value 8","Assign seriousness"
"Case2701","Take in charge ticket","2011/03/29 08:26:35.000","2011/03/29 08:26:35.000","Fluxicon Disco","Variant 1","1","Value 8","Value 8","Take in charge ticket"
"Case2701","Resolve ticket","2011/03/29 14:46:24.000","2011/03/29 14:46:24.000","Fluxicon Disco","Variant 1","1","Value 13","Value 13","Resolve ticket"
"Case2701","Closed","2011/04/29 08:30:16.000","2011/04/29 08:30:16.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case2702","Assign seriousness","2010/09/06 14:22:19.000","2010/09/06 14:22:19.000","Fluxicon Disco","Variant 1","1","Value 19","Value 19","Assign seriousness"
"Case2702","Take in charge ticket","2010/09/06 14:22:49.000","2010/09/06 14:22:49.000","Fluxicon Disco","Variant 1","1","Value 19","Value 19","Take in charge ticket"
"Case2702","Resolve ticket","2010/09/06 14:22:54.000","2010/09/06 14:22:54.000","Fluxicon Disco","Variant 1","1","Value 19","Value 19","Resolve ticket"
"Case2702","Closed","2010/11/03 15:30:43.000","2010/11/03 15:30:43.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case2703","Assign seriousness","2011/02/02 06:58:41.000","2011/02/02 06:58:41.000","Fluxicon Disco","Variant 1","1","Value 8","Value 8","Assign seriousness"
"Case2703","Take in charge ticket","2011/02/15 16:03:08.000","2011/02/15 16:03:08.000","Fluxicon Disco","Variant 1","1","Value 11","Value 11","Take in charge ticket"
"Case2703","Resolve ticket","2011/02/18 16:16:29.000","2011/02/18 16:16:29.000","Fluxicon Disco","Variant 1","1","Value 16","Value 16","Resolve ticket"
"Case2703","Closed","2011/03/05 16:16:47.000","2011/03/05 16:16:47.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case2704","Assign seriousness","2011/02/02 12:50:31.000","2011/02/02 12:50:31.000","Fluxicon Disco","Variant 1","1","Value 8","Value 8","Assign seriousness"
"Case2704","Take in charge ticket","2011/02/09 13:14:46.000","2011/02/09 13:14:46.000","Fluxicon Disco","Variant 1","1","Value 2","Value 2","Take in charge ticket"
"Case2704","Resolve ticket","2011/02/09 13:15:45.000","2011/02/09 13:15:45.000","Fluxicon Disco","Variant 1","1","Value 2","Value 2","Resolve ticket"
"Case2704","Closed","2011/03/12 13:01:01.000","2011/03/12 13:01:01.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case2705","Assign seriousness","2012/04/12 07:17:59.000","2012/04/12 07:17:59.000","Fluxicon Disco","Variant 1","1","Value 4","Value 4","Assign seriousness"
"Case2705","Take in charge ticket","2012/04/12 07:18:22.000","2012/04/12 07:18:22.000","Fluxicon Disco","Variant 1","1","Value 4","Value 4","Take in charge ticket"
"Case2705","Resolve ticket","2012/04/12 13:17:24.000","2012/04/12 13:17:24.000","Fluxicon Disco","Variant 1","1","Value 4","Value 4","Resolve ticket"
"Case2705","Closed","2012/05/15 07:20:11.000","2012/05/15 07:20:11.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case2706","Assign seriousness","2010/06/11 06:34:41.000","2010/06/11 06:34:41.000","Fluxicon Disco","Variant 1","1","Value 15","Value 15","Assign seriousness"
"Case2706","Take in charge ticket","2010/06/11 06:53:45.000","2010/06/11 06:53:45.000","Fluxicon Disco","Variant 1","1","Value 15","Value 15","Take in charge ticket"
"Case2706","Resolve ticket","2010/06/11 06:55:39.000","2010/06/11 06:55:39.000","Fluxicon Disco","Variant 1","1","Value 15","Value 15","Resolve ticket"
"Case2706","Closed","2010/07/14 06:44:28.000","2010/07/14 06:44:28.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case2707","Assign seriousness","2011/03/25 12:57:37.000","2011/03/25 12:57:37.000","Fluxicon Disco","Variant 4","4","Value 8","Value 8","Assign seriousness"
"Case2707","Assign seriousness","2011/03/25 12:58:07.000","2011/03/25 12:58:07.000","Fluxicon Disco","Variant 4","4","Value 8","Value 8","Assign seriousness"
"Case2707","Take in charge ticket","2011/03/28 14:54:55.000","2011/03/28 14:54:55.000","Fluxicon Disco","Variant 4","4","Value 8","Value 8","Take in charge ticket"
"Case2707","Resolve ticket","2011/03/28 14:55:15.000","2011/03/28 14:55:15.000","Fluxicon Disco","Variant 4","4","Value 8","Value 8","Resolve ticket"
"Case2707","Closed","2011/05/23 12:00:29.000","2011/05/23 12:00:29.000","Fluxicon Disco","Variant 4","4","Value 5","Value 5","Closed"
"Case2708","Assign seriousness","2011/09/16 07:48:49.000","2011/09/16 07:48:49.000","Fluxicon Disco","Variant 1","1","Value 1","Value 1","Assign seriousness"
"Case2708","Take in charge ticket","2011/09/21 06:38:58.000","2011/09/21 06:38:58.000","Fluxicon Disco","Variant 1","1","Value 13","Value 13","Take in charge ticket"
"Case2708","Resolve ticket","2011/09/21 09:31:28.000","2011/09/21 09:31:28.000","Fluxicon Disco","Variant 1","1","Value 13","Value 13","Resolve ticket"
"Case2708","Closed","2011/10/19 07:51:04.000","2011/10/19 07:51:04.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case2709","Assign seriousness","2010/11/16 13:30:13.000","2010/11/16 13:30:13.000","Fluxicon Disco","Variant 3","3","Value 2","Value 2","Assign seriousness"
"Case2709","Take in charge ticket","2010/11/17 10:40:23.000","2010/11/17 10:40:23.000","Fluxicon Disco","Variant 3","3","Value 6","Value 6","Take in charge ticket"
"Case2709","Wait","2010/11/17 13:02:04.000","2010/11/17 13:02:04.000","Fluxicon Disco","Variant 3","3","Value 6","Value 6","Wait"
"Case2709","Take in charge ticket","2010/11/22 07:59:12.000","2010/11/22 07:59:12.000","Fluxicon Disco","Variant 3","3","Value 6","Value 6","Take in charge ticket"
"Case2709","Resolve ticket","2010/11/22 08:00:08.000","2010/11/22 08:00:08.000","Fluxicon Disco","Variant 3","3","Value 6","Value 6","Resolve ticket"
"Case2709","Closed","2010/12/22 08:06:59.000","2010/12/22 08:06:59.000","Fluxicon Disco","Variant 3","3","Value 5","Value 5","Closed"
"Case2710","Assign seriousness","2011/04/26 13:43:59.000","2011/04/26 13:43:59.000","Fluxicon Disco","Variant 16","16","Value 8","Value 8","Assign seriousness"
"Case2710","Take in charge ticket","2011/05/09 14:19:53.000","2011/05/09 14:19:53.000","Fluxicon Disco","Variant 16","16","Value 2","Value 2","Take in charge ticket"
"Case2710","Wait","2011/05/10 12:13:38.000","2011/05/10 12:13:38.000","Fluxicon Disco","Variant 16","16","Value 14","Value 14","Wait"
"Case2710","Wait","2011/05/11 12:53:25.000","2011/05/11 12:53:25.000","Fluxicon Disco","Variant 16","16","Value 2","Value 2","Wait"
"Case2710","Take in charge ticket","2011/05/17 06:56:14.000","2011/05/17 06:56:14.000","Fluxicon Disco","Variant 16","16","Value 2","Value 2","Take in charge ticket"
"Case2710","Resolve ticket","2011/05/17 06:56:21.000","2011/05/17 06:56:21.000","Fluxicon Disco","Variant 16","16","Value 2","Value 2","Resolve ticket"
"Case2710","Closed","2011/06/02 07:50:56.000","2011/06/02 07:50:56.000","Fluxicon Disco","Variant 16","16","Value 5","Value 5","Closed"
"Case2711","Assign seriousness","2012/04/03 08:39:47.000","2012/04/03 08:39:47.000","Fluxicon Disco","Variant 1","1","Value 4","Value 4","Assign seriousness"
"Case2711","Take in charge ticket","2012/04/03 15:05:33.000","2012/04/03 15:05:33.000","Fluxicon Disco","Variant 1","1","Value 9","Value 9","Take in charge ticket"
"Case2711","Resolve ticket","2012/04/10 09:25:09.000","2012/04/10 09:25:09.000","Fluxicon Disco","Variant 1","1","Value 2","Value 2","Resolve ticket"
"Case2711","Closed","2012/05/04 08:40:19.000","2012/05/04 08:40:19.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case2712","Assign seriousness","2010/03/10 07:50:17.000","2010/03/10 07:50:17.000","Fluxicon Disco","Variant 1","1","Value 2","Value 2","Assign seriousness"
"Case2712","Take in charge ticket","2010/04/19 07:22:43.000","2010/04/19 07:22:43.000","Fluxicon Disco","Variant 1","1","Value 15","Value 15","Take in charge ticket"
"Case2712","Resolve ticket","2010/04/19 07:23:40.000","2010/04/19 07:23:40.000","Fluxicon Disco","Variant 1","1","Value 15","Value 15","Resolve ticket"
"Case2712","Closed","2010/05/04 07:23:57.000","2010/05/04 07:23:57.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case2713","Assign seriousness","2012/09/24 09:34:04.000","2012/09/24 09:34:04.000","Fluxicon Disco","Variant 2","2","Value 9","Value 9","Assign seriousness"
"Case2713","Take in charge ticket","2012/09/24 09:34:33.000","2012/09/24 09:34:33.000","Fluxicon Disco","Variant 2","2","Value 9","Value 9","Take in charge ticket"
"Case2713","Wait","2012/10/04 07:00:50.000","2012/10/04 07:00:50.000","Fluxicon Disco","Variant 2","2","Value 9","Value 9","Wait"
"Case2713","Resolve ticket","2012/10/12 08:04:07.000","2012/10/12 08:04:07.000","Fluxicon Disco","Variant 2","2","Value 9","Value 9","Resolve ticket"
"Case2713","Closed","2012/10/27 08:04:22.000","2012/10/27 08:04:22.000","Fluxicon Disco","Variant 2","2","Value 3","Value 3","Closed"
"Case2714","Assign seriousness","2012/09/19 08:24:49.000","2012/09/19 08:24:49.000","Fluxicon Disco","Variant 1","1","Value 1","Value 1","Assign seriousness"
"Case2714","Take in charge ticket","2012/09/24 06:01:36.000","2012/09/24 06:01:36.000","Fluxicon Disco","Variant 1","1","Value 3","Value 3","Take in charge ticket"
"Case2714","Resolve ticket","2012/10/08 06:58:09.000","2012/10/08 06:58:09.000","Fluxicon Disco","Variant 1","1","Value 6","Value 6","Resolve ticket"
"Case2714","Closed","2012/10/23 06:58:26.000","2012/10/23 06:58:26.000","Fluxicon Disco","Variant 1","1","Value 3","Value 3","Closed"
"Case2715","Assign seriousness","2011/04/27 08:32:26.000","2011/04/27 08:32:26.000","Fluxicon Disco","Variant 1","1","Value 8","Value 8","Assign seriousness"
"Case2715","Take in charge ticket","2011/04/27 08:53:02.000","2011/04/27 08:53:02.000","Fluxicon Disco","Variant 1","1","Value 8","Value 8","Take in charge ticket"
"Case2715","Resolve ticket","2011/04/27 09:54:28.000","2011/04/27 09:54:28.000","Fluxicon Disco","Variant 1","1","Value 8","Value 8","Resolve ticket"
"Case2715","Closed","2011/06/12 08:40:29.000","2011/06/12 08:40:29.000","Fluxicon Disco","Variant 1","1","Value 5","Value 5","Closed"
"Case2716","Assign seriousness","2012/10/26 13:13:35.000","2012/10/26 13:13:35.000","Fluxicon Disco","Variant 2","2","Value 1","Value 1","Assign seriousness"
"Case2716","Take in charge ticket","2012/10/29 14:58:56.000","2012/10/29 14:58:56.000","Fluxicon Disco","Variant 2","2","Value 2","Value 2","Take in charge ticket"
"Case2716","Wait","2012/11/07 09:07:43.000","2012/11/07 09:07:43.000","Fluxicon Disco","Variant 2","2","Value 2","Value 2","Wait"
"Case2716","Resolve ticket","2012/11/15 09:30:08.000","2012/11/15 09:30:08.000","Fluxicon Disco","Variant 2","2","Value 2","Value 2","Resolve ticket"
"Case2716","Closed","2012/11/30 09:30:23.000","2012/11/30 09:30:23.000","Fluxicon Disco","Variant 2","2","Value 3","Value 3","Closed"
